IPIXEL 45058
PIXELI 28674
ISTOREI 57345
IPIXELI 61442
ADDI 16384
ICOLORI 61443
IPRINTI 61440
BLTUI 20484
HALT 65535
FILL 12292
STOREI 8193
KREAD 12294
BEQI 20481
PRINT 12288
KWAIT 12293
R0 0
R1 1
R2 2
R3 3
